num_factura,fecha_venta,producto,vendedor,cliente,cantidad
0987-38196307,2021-11-22,17,52,2286,69
3479-02304955,2022-12-04,1,51,1554,129
7823-26026677,2023-02-28,18,47,969,125
5203-48546179,2021-07-20,87,14,1627,199
7397-41187012,2020-10-21,57,30,959,61
2954-13875451,2022-05-02,97,21,9,48
0035-71407569,2021-10-22,25,61,1775,16
4148-43603457,2020-12-07,16,57,2180,86
8848-25060619,2021-07-26,110,8,72,84
0294-76625694,2023-08-08,12,17,2384,133
4347-02555318,2021-10-08,8,56,1040,84
2854-18706319,2020-11-05,95,31,1912,87
3659-19884882,2023-03-03,44,45,2140,40
3798-13699311,2021-03-11,94,39,1592,131
5952-57296480,2022-01-17,28,9,265,117
1233-04033350,2022-01-10,4,3,1523,162
8300-18246399,2023-05-08,6,3,2350,199
1451-89780004,2021-11-03,78,65,1035,112
2963-28180741,2021-09-17,33,54,1794,45
2540-69904547,2022-08-30,24,2,1339,70
7522-12364052,2022-07-19,103,1,1886,136
3085-23202825,2022-12-10,29,42,995,29
8544-52028803,2023-07-02,32,37,1124,12
3246-48637324,2023-01-27,85,53,70,195
0018-37988386,2021-07-30,56,39,1436,184
8847-40038054,2023-01-01,29,61,1589,125
1867-93529195,2023-06-06,53,54,2151,8
1467-85813350,2021-06-26,28,54,12,164
2438-24125262,2021-06-25,43,58,1824,27
9663-37616178,2022-08-11,87,3,85,31
9009-48357471,2023-01-11,43,24,2257,98
0338-20795135,2023-05-14,7,46,1550,200
0759-68905436,2023-08-22,116,57,136,93
9594-86307281,2020-11-03,81,59,1572,82
3782-63436064,2021-02-07,72,37,1956,95
6711-28066847,2021-01-29,66,9,1044,165
4378-93072391,2022-05-09,10,44,159,148
3875-46181669,2023-08-13,73,20,1197,49
8989-75343498,2022-02-19,1,35,1726,179
0788-30405042,2021-05-08,20,3,2265,96
0118-14165762,2021-05-12,34,35,1778,64
1735-94796637,2020-11-23,77,35,2408,186
3852-23364900,2022-03-19,47,63,490,63
1465-68904862,2022-12-13,113,32,543,133
2293-59206574,2023-01-12,65,64,1958,145
0303-23945459,2023-05-02,52,13,2089,114
3687-35412670,2023-02-19,61,10,969,159
0702-56796435,2022-11-13,72,49,83,86
0588-71380013,2021-03-26,50,52,1479,157
9760-48434060,2021-11-20,88,41,333,164
2227-12620773,2022-03-12,43,59,1979,163
4770-58687930,2023-01-01,42,49,229,167
4737-66123712,2022-01-16,42,33,2391,126
3863-75814636,2020-10-08,38,16,1811,126
4914-62534490,2022-04-14,68,9,481,106
6836-24106229,2021-10-03,67,37,1405,165
4525-52508490,2021-03-15,73,27,2420,157
3373-25150407,2023-08-04,25,33,1679,45
1343-35229778,2022-10-06,114,33,1002,99
3797-21239189,2022-02-06,88,50,1235,98
3413-77540715,2022-08-24,110,31,1391,164
1172-74702173,2023-05-09,22,38,62,200
8354-31373105,2021-11-06,14,32,618,6
2988-79490078,2023-01-10,54,6,610,50
4078-96430068,2021-11-03,50,53,1561,155
4189-55309325,2022-12-06,119,6,810,177
2535-12222819,2021-03-17,118,54,1673,164
3235-79205704,2021-06-26,81,11,2279,69
5313-01716774,2021-01-20,14,46,717,161
4538-45654683,2021-03-14,36,44,730,69
7678-63168179,2021-07-17,59,27,1125,10
7297-53172647,2022-06-06,84,26,1509,34
7523-74888289,2023-03-06,65,5,1178,144
2917-17915083,2022-04-21,60,40,525,81
1929-49442237,2021-05-05,15,26,121,7
2744-39494046,2021-07-09,72,43,1639,21
9317-65424936,2020-11-18,18,52,417,41
5538-12207845,2021-07-07,2,28,2192,8
6017-08535770,2021-11-03,30,13,952,188
5087-96756565,2021-09-24,111,29,303,4
9107-42350135,2022-12-06,108,42,2232,140
6043-83706406,2022-12-26,12,17,937,167
9647-26886276,2021-06-07,68,9,2181,59
2427-15243501,2022-10-06,73,64,1775,15
4606-46230811,2023-08-19,105,26,1021,9
8203-26946186,2022-07-31,107,28,1834,127
1738-37916881,2023-06-26,21,12,1026,189
9034-98162178,2020-10-22,21,43,1817,144
5173-09006063,2020-10-18,16,63,35,168
8302-52710342,2022-06-06,41,5,1560,180
2255-63695006,2023-06-03,85,21,2049,191
8033-90359302,2021-06-28,99,26,159,52
7020-65078965,2022-02-11,14,25,826,153
9097-17276016,2021-06-23,70,24,2142,198
3169-28178722,2023-03-07,28,13,62,185
0113-73828086,2022-11-08,118,15,2287,171
0863-20685617,2023-03-20,82,19,75,171
4573-83406443,2021-09-20,4,63,2173,179
8355-06097662,2022-09-15,114,52,524,150
3702-77366435,2022-10-12,87,33,1614,59
7094-03863724,2020-12-06,61,8,1930,178
9775-00033238,2020-10-05,3,35,360,108
2609-25257268,2022-12-23,102,11,2374,1
4955-14999791,2022-03-11,74,39,62,53
8207-07859313,2023-02-20,57,39,2020,52
1973-82898676,2021-01-24,98,49,271,2
9325-51663212,2022-06-13,14,29,158,121
2325-64549488,2023-07-31,116,4,2363,81
5022-17593821,2021-05-19,44,53,936,36
9478-82275324,2022-05-15,54,60,976,30
5494-71336184,2023-06-09,97,56,1298,182
1779-18558293,2022-09-19,106,48,778,189
3461-81000077,2023-02-06,92,22,205,185
8970-60319513,2021-05-15,22,14,1912,167
6524-59229244,2021-07-22,69,28,1291,2
8051-23674392,2022-08-03,119,50,222,81
2570-31585296,2021-08-05,56,58,1113,46
0355-08305346,2022-03-12,1,16,2452,52
4650-66811388,2021-01-04,103,63,865,23
4457-51133598,2022-08-06,79,50,352,40
8589-13358255,2022-12-30,21,52,1889,145
7622-93413761,2022-08-17,114,6,2293,2
0298-17965697,2021-06-10,15,55,720,158
5301-53493379,2023-09-09,27,49,1140,76
8788-87380724,2021-04-22,109,43,1726,54
6796-64518457,2022-09-18,102,41,679,37
9124-98431766,2023-05-07,63,48,1154,92
5179-79628864,2022-01-23,50,52,696,115
2347-41240019,2022-09-26,9,45,1332,37
7268-83077663,2022-01-15,83,45,63,4
6765-42045216,2022-09-08,100,51,892,3
3952-15329848,2021-06-15,50,64,1624,150
2314-68519086,2020-11-01,90,12,1092,182
7955-32287784,2023-07-29,41,45,280,136
5484-98466991,2021-08-12,100,39,682,7
4317-10413888,2023-07-15,87,23,1513,41
1623-42057144,2022-06-11,87,11,2124,32
8570-93017528,2022-06-26,33,32,2196,126
9080-78878440,2021-06-01,44,36,1157,68
5226-95096439,2023-07-01,11,61,427,17
6403-97938969,2020-12-25,99,20,1800,129
8252-86409728,2022-04-28,92,16,1445,190
5054-32406354,2021-01-17,12,12,1600,78
2443-78956848,2022-02-12,87,41,1462,199
9756-88016060,2022-01-21,37,34,1684,130
0649-72833575,2022-04-03,71,50,2322,102
6834-45664076,2022-12-29,57,7,647,26
7580-87648361,2023-03-31,8,49,1082,44
4694-42339276,2022-10-11,55,22,575,189
0366-82655855,2022-04-18,103,51,1864,50
4773-47701168,2023-04-07,55,8,283,14
8667-80223874,2022-02-28,10,57,2449,102
4559-87690335,2021-01-30,103,5,1149,176
0409-71134299,2022-06-01,57,58,935,45
8485-49832752,2023-04-12,111,24,1469,136
9413-82564213,2021-04-19,94,25,2445,69
4365-51286663,2021-03-30,12,26,2442,197
3036-64534194,2022-10-11,101,65,1116,78
8295-62157657,2021-01-22,39,45,857,66
7908-58070065,2022-04-27,73,27,2323,172
1257-66928031,2021-07-31,61,25,665,37
7334-17032216,2022-10-25,47,27,2244,133
2905-05600806,2021-01-19,8,29,159,58
8151-34358142,2021-07-01,111,57,311,155
1047-14291288,2023-09-17,45,24,1239,35
8529-01215716,2021-11-11,15,59,761,81
6450-24392409,2022-12-20,15,5,716,115
5196-28992435,2022-12-14,20,51,192,3
3758-50324207,2021-03-21,22,3,653,154
8981-01508611,2021-05-06,107,64,2475,197
6894-41700283,2022-05-23,93,61,2053,102
6811-55195136,2021-07-07,11,21,2397,194
0048-15540128,2020-12-08,117,34,2261,197
9960-81303269,2020-10-19,32,43,1283,61
0476-99689150,2021-11-13,90,20,1873,152
5768-37356845,2022-10-16,37,14,2117,168
4195-54054433,2021-02-11,71,5,1395,27
2641-42699739,2023-02-08,11,40,2033,82
0969-05507840,2023-07-13,88,38,1669,132
3744-94592275,2022-06-17,51,43,1009,124
7428-89609034,2021-07-10,12,27,67,142
1517-36305294,2022-03-02,94,22,1261,165
9587-03991344,2023-04-26,82,21,513,66
6939-74939429,2022-01-02,22,59,349,10
4778-45781265,2020-12-15,83,25,299,62
5311-02763610,2023-03-17,113,11,455,49
9575-91878377,2020-12-17,111,1,514,183
0499-91646289,2022-07-13,35,21,1017,41
4926-03722914,2023-03-20,38,27,334,165
7269-38170839,2021-05-16,115,23,1568,198
2110-76999919,2021-06-08,69,24,270,188
6573-43051001,2021-09-23,107,2,1854,28
7626-97399217,2021-05-02,98,38,722,13
9165-25637403,2021-08-28,108,20,1475,177
0025-87738655,2022-10-02,117,58,1843,192
5674-72242359,2022-02-07,95,32,519,43
4285-59027276,2021-12-12,109,35,874,45
7429-13559563,2021-09-10,117,1,1206,72
7153-81037201,2021-02-17,9,32,2191,58
8087-98044682,2022-01-04,8,28,2099,147
9392-91616352,2021-12-29,89,40,1814,4
8012-02935494,2022-06-22,21,62,1057,175
9934-59424334,2021-04-18,9,39,140,60
9294-22500610,2021-08-20,31,21,2061,104
0719-50254639,2021-10-23,6,17,24,36
6887-01894989,2020-12-26,116,17,2134,95
7390-26386451,2020-11-09,106,31,2275,108
2906-54447259,2022-12-11,9,26,1268,39
3951-65832884,2022-09-06,96,4,1782,196
1796-90313639,2021-02-09,89,61,1574,136
0361-32198661,2022-11-13,54,47,2386,121
3929-13654898,2022-09-19,72,45,2130,121
3899-79380742,2022-02-14,117,19,556,127
1493-49069862,2021-12-19,98,35,63,68
8928-84713777,2021-06-23,5,52,1930,63
0685-31172331,2022-05-17,19,47,866,178
7045-02251395,2021-01-30,19,56,1853,149
6936-63073706,2022-11-25,83,50,1949,189
6906-17935923,2022-07-24,104,59,1715,22
5925-63729053,2023-05-19,69,20,1315,196
3473-51507157,2021-09-02,91,16,694,139
1940-99819337,2022-08-27,77,34,1542,187
0371-35770006,2021-02-19,57,39,1974,23
6271-25709606,2021-01-03,43,17,981,185
5913-20977648,2022-04-20,27,28,963,77
9106-80638204,2021-05-13,33,60,1769,116
1954-72829910,2022-11-10,6,12,1033,56
8189-66691887,2021-05-29,83,5,889,137
9416-31751386,2023-08-13,68,4,234,164
4997-59099358,2022-01-11,35,54,1291,33
9785-91472882,2023-04-14,1,48,215,138
4990-85220248,2020-09-18,15,53,630,129
4931-11843371,2022-09-24,98,10,1835,49
2034-81068641,2023-05-24,54,52,107,160
7729-85754421,2022-01-28,117,42,220,130
4234-68101294,2021-12-23,106,29,1862,100
7933-28452875,2022-06-14,20,49,2095,25
6957-43537073,2022-07-31,52,61,1467,92
5831-76588459,2021-05-27,10,30,1886,90
4996-23764061,2022-06-16,101,21,1599,45
6610-97819002,2021-08-11,34,33,406,103
4178-50719541,2023-07-14,15,53,459,95
4419-29746098,2021-09-19,69,27,937,162
2924-77260519,2022-05-08,14,6,763,186
4791-64195133,2023-05-23,30,33,954,181
1700-90481105,2023-05-22,50,22,914,131
0952-19173626,2023-03-15,13,62,795,59
2176-34612065,2021-09-01,106,64,2063,108
9038-49306754,2022-10-23,90,25,1959,123
3397-60437028,2021-07-17,42,51,740,42
8037-08914446,2022-11-21,78,65,2438,42
5885-03434529,2020-12-28,105,62,1209,182
3068-99249084,2021-08-23,24,39,576,134
7567-30396980,2022-04-10,94,51,1545,31
3022-83894388,2021-03-24,86,30,2335,26
3916-96412412,2022-04-20,57,11,1072,113
1156-36628378,2021-07-11,83,58,229,200
9655-60520329,2020-11-25,23,50,92,15
7497-68898007,2022-01-14,44,5,2080,178
8638-61859259,2023-06-07,119,51,241,11
1020-46350807,2022-10-27,22,47,1251,87
7736-14039580,2023-01-23,43,11,1014,82
5853-83659116,2022-12-16,68,59,720,59
2604-00461435,2021-05-03,85,39,487,187
3722-08529083,2021-12-11,8,17,1809,189
3612-96116084,2022-01-21,79,35,88,106
0392-55716442,2020-10-17,90,61,1168,178
5657-79619233,2022-08-11,98,46,2063,55
0991-28946576,2022-03-14,79,55,1018,149
8181-36785804,2021-09-06,59,23,1954,60
4220-91987309,2023-06-25,74,45,2164,86
0663-08970273,2021-08-29,40,63,112,73
8872-92711132,2022-05-01,41,59,1144,17
5844-73326467,2021-05-07,94,47,1256,13
1607-37015679,2022-04-29,70,49,1949,137
2814-23688636,2021-06-08,29,42,1107,110
6099-93609836,2021-05-10,51,48,461,181
8638-94559389,2023-09-02,66,3,1067,197
5238-19243861,2023-02-10,106,50,1778,155
5347-95965684,2022-03-09,117,60,1402,56
6585-16937938,2021-03-02,18,19,1877,100
0333-61138256,2021-03-13,35,42,1957,43
2594-57068629,2021-09-30,79,37,2321,182
8297-44768994,2021-11-04,95,9,131,27
4237-06893771,2020-11-15,43,60,2004,107
1285-34953364,2022-09-27,59,16,123,107
6226-25429858,2021-02-13,78,23,44,9
7083-88147216,2020-10-08,86,39,733,68
8302-19194363,2021-12-19,111,63,2494,151
8630-33050234,2021-07-16,88,35,451,17
8296-81095919,2022-03-01,93,10,2096,65
4979-43387365,2023-05-22,95,44,2370,2
9697-68183884,2021-09-06,98,18,395,84
0524-33905042,2022-08-27,118,36,283,72
2410-55612065,2021-01-09,50,49,1788,148
5615-59209784,2023-02-04,96,6,365,143
6033-08715823,2023-04-11,43,57,1169,174
7746-84410076,2022-08-19,39,38,1557,22
2546-89234765,2022-12-17,31,36,24,173
7868-83483729,2022-08-18,44,42,1644,91
8326-67885866,2021-12-04,22,8,1736,72
9335-05216082,2020-12-31,45,51,343,81
0387-23754985,2023-05-12,95,41,1947,127
2913-23253914,2021-10-06,71,21,596,199
3599-88341300,2020-12-28,16,5,58,15
9763-94869105,2023-08-20,26,43,674,171
3724-14991024,2023-08-21,79,39,1324,16
1865-36556632,2022-01-12,98,2,1679,105
4255-62750884,2020-12-10,108,16,2463,97
0321-99298478,2022-08-02,43,20,1851,27
9787-94406233,2021-05-27,32,8,716,30
9342-66373843,2021-04-03,24,61,1123,193
6785-32339110,2022-03-24,105,44,2262,113
0626-95438480,2022-01-06,91,63,457,177
3987-90690005,2022-12-21,1,15,447,28
7389-79271013,2022-08-14,119,33,879,163
8506-84085130,2021-10-31,57,56,1140,159
0822-99531420,2022-09-07,13,40,804,12
9621-61392972,2023-07-10,77,38,1712,96
5862-52172182,2023-05-21,23,46,2427,47
6278-05975791,2021-06-18,101,20,2437,142
0176-74438774,2021-05-31,51,35,1534,89
3616-01821956,2022-01-20,60,60,1782,194
7204-74684412,2021-08-22,109,61,1688,160
1836-15463926,2022-03-27,9,14,2373,157
1626-93886148,2021-01-07,25,16,1484,48
1720-02677679,2020-12-12,98,58,994,108
6312-78250072,2023-04-04,79,39,856,57
7898-45693468,2022-01-19,99,46,1467,70
3874-39292036,2022-02-01,74,12,1938,26
4808-85181681,2022-10-09,82,26,405,145
0701-11407242,2023-01-27,33,4,1531,38
0576-47381631,2023-01-10,22,46,2207,78
1700-40847844,2020-11-02,73,29,2174,82
9733-32089342,2023-03-12,70,64,1658,8
0534-45731271,2022-06-13,3,50,2336,5
7434-69575559,2022-01-27,37,32,973,56
4068-01793743,2021-08-13,83,50,2484,87
0210-23778199,2023-05-16,77,55,41,20
4922-43437093,2023-07-11,74,3,1946,164
9952-01943013,2022-06-17,14,28,1415,146
3221-15872654,2023-08-26,52,33,1390,38
9019-53369009,2022-12-18,85,17,1525,50
6959-91485200,2021-12-28,53,63,2022,64
6697-32086781,2023-09-09,61,13,2159,56
7378-46722792,2021-07-09,34,43,262,163
5079-57289816,2022-05-16,55,49,142,6
0714-25364766,2021-06-30,34,61,859,5
6224-49207857,2021-05-14,5,55,892,28
3678-20066463,2020-11-01,23,35,1326,50
9685-55969728,2022-11-29,88,44,1168,2
1778-69543170,2023-05-04,15,48,2206,45
0466-25883879,2021-10-26,101,31,1352,9
1575-60431653,2021-09-25,16,39,1812,163
5430-92156600,2022-06-12,83,26,2111,44
0012-20283846,2023-09-15,110,19,1672,17
7323-46758762,2022-05-14,90,23,1361,158
2724-87340712,2021-09-09,37,63,2190,90
1175-33982638,2022-06-15,70,43,2073,188
4606-77096118,2022-09-11,82,48,2219,33
9027-39463333,2021-01-06,107,64,807,5
9469-25608651,2022-03-16,118,18,289,63
4133-65079594,2023-04-05,91,56,470,193
0978-99644521,2021-05-13,90,19,2186,110
4617-59338145,2021-05-02,36,27,1119,87
8905-07889245,2021-09-23,70,58,22,108
3396-32377164,2021-10-02,104,14,365,37
5680-62924698,2020-10-29,30,52,1728,177
0756-65318109,2022-05-26,80,13,1710,31
5365-49441762,2020-10-23,30,63,1192,32
4359-36028537,2021-08-12,43,62,356,148
3965-77675900,2021-05-06,41,28,1708,183
7358-77877091,2022-01-06,24,5,521,69
1831-08769922,2021-11-27,94,17,1307,150
8335-70052862,2022-02-06,89,59,1726,9
7442-85182806,2021-08-11,24,26,310,37
1877-69987753,2023-08-24,45,62,1617,173
7979-91806932,2023-06-20,31,8,1191,174
4621-42970242,2023-05-14,84,30,1832,195
4084-42532107,2022-10-04,11,21,573,120
2910-08398558,2023-03-13,101,56,415,4
1510-33141695,2022-03-29,50,14,1448,113
6604-44506360,2022-04-25,72,21,138,5
7172-20804562,2023-07-30,70,28,1714,76
7220-59580885,2023-02-17,61,14,2326,61
1133-95248318,2020-12-02,9,27,831,189
2497-31913283,2022-03-21,109,16,592,95
4908-41107238,2023-04-17,96,46,63,65
8411-34008920,2023-08-02,49,60,2134,108
7283-34644088,2021-09-23,38,62,2244,136
8546-92189938,2022-10-06,104,60,373,72
4096-15521087,2021-04-11,27,12,111,163
9097-47627072,2022-12-05,3,48,777,182
9583-41593908,2021-10-19,65,28,1940,198
7740-65516245,2021-08-10,38,65,850,71
3071-01922837,2020-12-23,107,45,1778,141
2761-29559558,2021-12-12,66,10,1412,107
1507-49059953,2021-03-31,52,1,1939,167
8711-21102263,2023-08-04,114,28,751,188
2377-73410857,2021-05-08,45,5,1946,109
4047-05640714,2023-02-16,114,39,1226,103
0879-52605781,2022-11-28,19,28,945,50
4051-30047226,2021-03-03,61,21,964,117
7538-59725343,2022-06-02,37,65,2324,167
4763-61145564,2021-10-27,10,26,1648,96
0990-27889028,2022-03-27,115,30,295,47
0770-14131990,2023-06-26,77,64,840,173
9882-39955547,2022-05-05,49,28,843,9
7281-61047169,2021-07-04,30,40,608,172
4922-74118957,2023-06-28,21,57,2232,76
3734-30224879,2023-04-22,107,52,889,42
1863-20084381,2022-12-24,29,63,490,94
9756-63394386,2021-03-04,68,29,457,37
1529-52644367,2022-01-03,1,25,2280,120
0273-55095463,2021-03-09,92,21,1368,147
7157-01536047,2022-03-08,47,5,2443,25
9829-85431240,2022-04-18,81,22,1909,166
0281-62316111,2020-10-25,12,44,787,55
9615-44563759,2022-03-22,19,14,1296,154
0946-92830877,2023-08-17,6,60,1034,79
0025-42716609,2023-02-13,58,63,1058,109
1901-57379836,2023-07-01,26,45,580,76
9121-80251415,2021-12-08,34,13,1181,79
9887-93537128,2022-12-26,62,14,1536,7
8356-45666713,2020-12-04,96,40,498,104
2237-44381706,2023-02-11,22,37,1874,63
0844-18941872,2022-08-04,6,47,1113,61
8603-52267308,2022-10-09,49,43,1726,144
0249-70681704,2022-02-02,85,62,370,47
4255-37857391,2023-08-13,3,41,2420,160
9235-98576773,2023-06-07,2,54,308,117
5395-52084236,2022-09-12,66,38,1097,195
8924-20789487,2022-12-31,14,56,783,163
2402-31684431,2022-05-05,77,25,2241,45
7669-76667946,2022-01-06,95,37,888,41
0111-21334091,2023-04-26,107,15,1329,176
9614-78005150,2022-11-29,114,11,819,192
8269-29158725,2022-02-17,98,50,1744,70
8752-18156475,2021-02-10,99,2,1123,24
7139-36481576,2023-09-05,103,1,1356,135
4125-69529036,2021-02-15,100,45,533,78
2581-54299665,2022-09-07,17,1,1760,114
0761-71305675,2020-10-10,33,42,1584,82
3166-00591836,2021-07-14,4,7,657,127
9997-49248000,2022-04-02,106,48,1946,156
2072-02198992,2021-05-11,55,22,1933,105
8522-30280402,2022-04-22,7,41,1325,54
8887-61075683,2020-09-17,51,7,1066,22
9279-88130442,2023-07-25,2,3,1131,165
3966-66484461,2023-07-03,12,2,2495,126
4991-05470588,2023-08-17,70,14,846,27
2990-71612708,2023-04-18,102,58,1908,35
4692-74907614,2021-03-17,14,62,1500,145
2910-19904285,2020-10-30,54,15,772,193
5679-72803434,2022-12-21,10,14,2150,46
0750-81486678,2023-03-24,72,4,1265,97
9741-49681460,2023-01-06,47,59,1207,156
5819-30942323,2021-05-31,66,2,661,140
1798-88878242,2021-01-05,12,62,2123,39
9550-65093635,2022-01-28,30,19,1444,130
6592-95196290,2022-05-07,94,17,1301,108
8935-37064621,2022-12-18,105,14,688,197
5312-89851415,2023-05-25,118,45,771,3
3278-20143674,2022-05-13,76,28,2489,34
9999-80920146,2023-02-14,59,30,1684,7
6064-52073567,2022-11-22,40,40,937,171
9903-88298757,2021-11-16,86,50,1488,145
2403-43799607,2021-10-10,9,61,1574,4
5433-36300175,2022-02-08,12,42,477,95
5344-37202766,2022-02-08,90,59,738,199
0191-17039651,2022-01-24,27,36,1599,103
6084-63924586,2023-01-09,70,12,2085,104
1661-80311783,2022-02-10,41,35,1987,77
9692-74232686,2021-03-02,47,9,1811,77
9979-70402744,2021-05-01,25,6,489,134
1665-31057600,2023-03-30,19,11,2424,9
1043-14290920,2022-03-21,49,44,1213,132
5556-25129922,2021-02-20,13,53,2192,53
8232-41375238,2023-03-09,78,61,2330,143
6268-00070323,2023-02-19,96,42,1542,142
7776-29588019,2021-11-26,21,31,1466,50
9741-38693168,2022-01-13,32,25,2072,59
7378-96464373,2023-06-30,2,24,1749,60
1925-22567925,2022-03-03,13,8,2267,144
5865-05311052,2023-09-13,53,8,515,107
2831-24939011,2023-01-09,21,54,668,179
4128-03227886,2021-10-02,66,14,172,5
1492-86557258,2023-05-23,62,59,2305,2
9430-96140153,2022-07-15,74,59,1262,83
8682-15710673,2022-12-24,35,3,1397,29
9912-37157260,2023-03-28,64,62,1923,119
6239-65149592,2023-01-29,105,39,1113,16
6029-96127269,2021-01-20,80,22,576,18
6234-92715529,2020-11-01,74,22,111,23
7710-59435605,2023-07-01,9,59,57,1
7215-22216317,2020-10-18,61,20,111,56
6602-81560398,2022-10-02,72,25,515,54
5073-39109831,2021-02-27,39,14,1442,81
4585-73813683,2021-06-10,11,20,2136,144
8019-53422219,2022-05-26,66,30,1723,33
6161-40959781,2020-12-14,15,18,120,87
2716-54617523,2023-02-26,73,32,1646,100
3984-07197006,2021-08-27,3,45,1187,91
0630-04360648,2020-11-21,94,63,793,46
0468-91410020,2023-05-04,8,48,2181,96
3347-65936750,2022-05-29,55,48,234,79
1062-59287526,2021-01-23,16,6,252,105
3193-57320203,2023-02-23,6,50,708,169
6442-56206987,2023-01-17,44,1,218,4
7422-53525332,2021-01-26,21,51,96,98
7693-49943753,2021-10-27,45,31,1859,164
0016-72701288,2021-02-19,25,44,393,14
6428-43244845,2022-06-28,99,12,1623,199
9236-26182687,2021-10-17,96,57,1163,176
1826-99980350,2023-04-08,6,59,1862,97
2876-15583092,2021-06-06,47,35,2160,190
9824-28770421,2020-12-23,102,30,2014,195
9202-83546770,2022-02-02,15,63,768,54
8808-94083246,2022-08-08,105,27,665,19
9628-52544870,2023-05-22,4,63,344,186
0169-31450612,2023-06-25,9,53,1458,36
3531-32214232,2023-08-01,11,58,839,114
